CNAE PRIMARIO,MERCADO,QT_SESI,QT_SENAI,QT_SESI_SENAI,QT_SESI_OU_SENAI,SEM_RELACIONAMENTO,PENETRACAO_SESI_%,PENETRACAO_SENAI_%,PENETRACAO_COMBINADA_%,GAP_SESI,GAP_SENAI,GAP_COMBINADO
Reforma de pneumaticos usados,9,0,0,0,0,9,0.0,0.0,0.0,9,9,9
"Fabricacao de cabines, carrocerias e reboques para outros veiculos automotores, exceto caminhoes e onibus",9,1,0,0,1,8,11.1111,0.0,11.1111,8,9,8
Fabricacao de cervejas e chopes,9,4,2,2,4,5,44.4444,22.2222,44.4444,5,7,5
"Manutencao e reparacao de maquinas, aparelhos e equipamentos para instalacoes termicas",9,0,0,0,0,9,0.0,0.0,0.0,9,9,9
Manutencao e reparacao de valvulas industriais,9,0,1,0,1,8,0.0,11.1111,11.1111,9,8,8
Fabricacao de tubos e acessorios de material plastico para uso na construcao,9,2,2,2,2,7,22.2222,22.2222,22.2222,7,7,7
"Fabricacao de tanques, reservatorios metalicos e caldeiras para aquecimento central",9,0,0,0,0,9,0.0,0.0,0.0,9,9,9
"Fabricacao de frutas cristalizadas, balas e semelhantes",9,0,0,0,0,9,0.0,0.0,0.0,9,9,9
Fabricacao de artefatos de tanoaria e de embalagens de madeira,8,2,0,0,2,6,25.0,0.0,25.0,6,8,6
Fabricacao de embalagens de cartolina e papel cartao,8,0,0,0,0,8,0.0,0.0,0.0,8,8,8
Fabricacao de luminarias e outros equipamentos de iluminacao,8,0,0,0,0,8,0.0,0.0,0.0,8,8,8
Fabricacao de ferramentas,8,0,0,0,0,8,0.0,0.0,0.0,8,8,8
Gestao de redes de esgoto,8,1,0,0,1,7,12.5,0.0,12.5,7,8,7
"Preservacao de peixes, crustaceos e moluscos",8,1,0,0,1,7,12.5,0.0,12.5,7,8,7
Extracao de argila e beneficiamento associado,8,0,0,0,0,8,0.0,0.0,0.0,8,8,8
Construcao de obras de arte especiais,8,0,1,0,1,7,0.0,12.5,12.5,8,7,7
Perfuracoes e sondagens,8,0,0,0,0,8,0.0,0.0,0.0,8,8,8
"Manutencao e reparacao de aeronaves, exceto a manutencao na pista",7,0,0,0,0,7,0.0,0.0,0.0,7,7,7
Fabricacao de refrigerantes,7,2,0,0,2,5,28.5714,0.0,28.5714,5,7,5
Obras de fundacoes,7,1,0,0,1,6,14.2857,0.0,14.2857,6,7,6
Fabricacao de artefatos para pesca e esporte,7,0,0,0,0,7,0.0,0.0,0.0,7,7,7
Pintura para sinalizacao em pistas rodoviarias e aeroportos,7,0,0,0,0,7,0.0,0.0,0.0,7,7,7
Manutencao e reparacao de equipamentos de transmissao para fins industriais,6,0,0,0,0,6,0.0,0.0,0.0,6,6,6
"Fabricacao de produtos de papel, cartolina, papel cartao e papelao ondulado para uso industrial, comercial e de escritorio",6,0,0,0,0,6,0.0,0.0,0.0,6,6,6
Servicos de telecomunicacoes sem fio nao especificados anteriormente,6,0,0,0,0,6,0.0,0.0,0.0,6,6,6
Telecomunicacoes por satelite,6,0,0,0,0,6,0.0,0.0,0.0,6,6,6
"Fabricacao de refrescos, xaropes e pos para refrescos, exceto refrescos de frutas",6,0,0,0,0,6,0.0,0.0,0.0,6,6,6
Construcao de instalacoes esportivas e recreativas,6,0,0,0,0,6,0.0,0.0,0.0,6,6,6
"Manutencao e reparacao de maquinas para a industria metalurgica, exceto maquinas ferramenta",6,0,0,0,0,6,0.0,0.0,0.0,6,6,6
Producao de gas; processamento de gas natural,6,2,0,0,2,4,33.3333,0.0,33.3333,4,6,4
Fabricacao de artigos de cutelaria,6,0,0,0,0,6,0.0,0.0,0.0,6,6,6
Manutencao de estacoes e redes de telecomunicacoes,6,1,1,1,1,5,16.6667,16.6667,16.6667,5,5,5
Montagem e desmontagem de andaimes e outras estruturas temporarias,6,0,0,0,0,6,0.0,0.0,0.0,6,6,6
Servico de laboratorio optico,6,0,0,0,0,6,0.0,0.0,0.0,6,6,6
Extracao de madeira em florestas plantadas,5,0,0,0,0,5,0.0,0.0,0.0,5,5,5
"Fabricacao de motores e turbinas, pecas e acessorios, exceto para avioes e veiculos rodoviarios",5,2,0,0,2,3,40.0,0.0,40.0,3,5,3
Fabricacao de laminados planos e tubulares de material plastico,5,1,2,1,2,3,20.0,40.0,40.0,4,3,3
Preparacao e fiacao de fibras de algodao,5,0,0,0,0,5,0.0,0.0,0.0,5,5,5
Preparacao de canteiro e limpeza de terreno,5,0,1,0,1,4,0.0,20.0,20.0,5,4,4
Reproducao de software em qualquer suporte,5,0,0,0,0,5,0.0,0.0,0.0,5,5,5
