Origem da Cobertura,CNPJ,Razão Social,Categoria,Porte,CNAE,COBERTURA,CNPJ_NORMALIZADO
Proposta,3279056000115,Cabecal - Calcario De Cabeceiras Mineracao Ltda,Industria,4.Micro,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",SENAI,03279056000115
Proposta,3470536000169,Energia Empreendimentos Ltda,Industria,3.Pequena,Construção de edifícios,SENAI,03470536000169
Proposta,3624362000141,Cooperativa Educacional De Maceio,Nao Industria,3.Pequena,Atividades de associações de defesa de direitos sociais,SENAI,03624362000141
Proposta,3698620000568,Green4t Solucoes Ti Ltda,Industria,3.Pequena,Outras obras de instalações em construções não especificadas anteriormente,SENAI,03698620000568
Proposta,3746272000123,Sian Engenharia Ltda,Industria,3.Pequena,Construção de edifícios,SENAI,03746272000123
Proposta,3798336000210,Servico Social Da Industria - Sesi,Nao Industria,3.Pequena,Outras atividades de ensino não especificadas anteriormente,SENAI,03798336000210
Proposta,3798336000806,Servico Social Da Industria - Sesi,Nao Industria,3.Pequena,Outras atividades de ensino não especificadas anteriormente,SENAI,03798336000806
Proposta,3798336000997,Servico Social Da Industria - Sesi,Nao Industria,3.Pequena,Outras atividades de ensino não especificadas anteriormente,SENAI,03798336000997
Proposta,3866223000124,Medradius Clinica De Medicina Nuclear E Radiologia De Maceio Ltda,Nao Industria,2.Média,"Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia",SENAI,03866223000124
Migração,4342949000120,Acessorios Mineirao Pecas E Servicos Ltda,Nao Industria,3.Pequena,Comércio a varejo de peças e acessórios novos para veículos automotores,SENAI,04342949000120
Proposta,4401310000179,Teccel - Tecnologia Da Construcao Civil E Eletrica Ltda,Industria,2.Média,Construção de estações e redes de distribuição de energia elétrica,SENAI,04401310000179
Proposta,4736001000150,Living Locacoes Ltda.,Nao Industria,3.Pequena,"Aluguel de móveis, utensílios e aparelhos de uso doméstico e pessoal; instrumentos musicais",SENAI,04736001000150
Proposta,4834392000145,Brascar Locadora Ltda,Nao Industria,3.Pequena,Locação de automóveis sem condutor,SENAI,04834392000145
Proposta,5863009000140,Synergia - Consultoria Urbana E Social Ltda.,Nao Industria,2.Média,Pesquisa e desenvolvimento experimental em ciências sociais e humanas,SENAI,05863009000140
Proposta,6171493000451,Mslog - Servicos De Logistica E Transporte Ltda,Nao Industria,3.Pequena,Organização logística do transporte de carga,SENAI,06171493000451
Proposta,6173511000191,Retrofit Engenharia De Servicos Ltda,Industria,3.Pequena,Construção de edifícios,SENAI,06173511000191
Proposta,6248248000152,Sabalanga Produtos Agropecuarios Ltda,Nao Industria,2.Média,Criação de frangos para corte,SENAI,06248248000152
Proposta,6980064001073,Nacional Gas Butano Distribuidora Ltda,Nao Industria,3.Pequena,Comércio varejista de gás liqüefeito de petróleo (GLP),SENAI,06980064001073
